title,release_date,runtime,genre/s,categories_id,description,image,trailer,actors,director,writers
"14 días, 12 noches",2021/02/19,99,,5,"Isabelle Brodeur, una mujer de 54 años, pierde a su hija Clara, de origen vietnamita, en un trágico accidente de quad. Un año después de su muerte, la vida de Isabelle todavía está en estado de caos. Y cada día ve más imposible que todo vuelva a la normalidad. Rota por el dolor, Isabelle solo tiene un deseo: escapar, volar a Vietnam y sumergirse en el país de origen de Clara. Isabelle, que no acepta la muerte de la joven espera encontrar a Clara, una forma de prolongar su vida y rechazar su muerte.",/movies_images/14-das-12-noches.jpg,https://www.youtube.com/embed/TB5jJxi8Hb8,"Anne Dorval,François Papineau,Leanna Chea,Laurence Barrette",Jean-Philippe Duval,Marie Vien
Space Jam: Nuevas leyendas,2021/07/23,116,,"9,14,19","Secuela de la cinta original de 1996, Space Jam, protagonizada por Michael Jordan. En esta segunda parte, la super estrella de la NBA es LeBron James, quien queda&amp;nbsp;atrapado junto a su hijo&amp;nbsp;Dom&amp;nbsp;en un extraño lugar, un espacio digital de una fuerza todopoderosa y malvada conocida como&amp;nbsp;A.I.&amp;nbsp;Para volver a casa y poner a salvo a su hijo, el jugador de baloncesto deberá unir fuerzas con&amp;nbsp;Bugs Bunny,&amp;nbsp;Lola Bunny&amp;nbsp;y el resto de personajes de los&amp;nbsp;Looney Tunes&amp;nbsp;para enfrentarse en un partido de baloncesto a los campeones digitalizados por A.I.&amp;nbsp;",/movies_images/space-jam-nuevas-leyendas.jpg,https://www.youtube.com/embed/-8GlaZAiW3s,"LeBron James,Don Cheadle,Sonequa Martin-Green,Xosha Roquemore",Malcolm D. Lee,"Keenan Coogler,Terence Nance,Jesse Gordon (II),Leo Benvenuti,Timothy Harris,Steve Rudnick,Herschel Weingrod,Keenan Coogler,Terence Nance"
The Batman,2022/03/04,177,,"2,6","Cada noche Bruce Wayne se enmascara en la identidad de Batman para sumergirse en las profundidades de Gotham City. En su lucha contra el crimen únicamente cuenta con el apoyo de&amp;nbsp;Alfred Pennyworth y&amp;nbsp;la ayuda del teniente James Gordon, dentro de una blindada red de corrupción policial. Un nuevo asesino pone la mirada en algunos de los ciudadanos de Gotham creando una serie de sádicas maquinaciones que, mediante un rastro de pistas en forma de rompecabezas, llevarán a Batman por un camino turbulento y despiadado.&amp;nbsp;En su viaje hacia la venganza, el Caballero Oscuro se topará con&amp;nbsp;Selina Kyle -alias Catwoman-, Oswald Cobblepot -alias El Pingüino-, Carmine Falcone&amp;nbsp;y Edward Nashton -alias Enigma. Entre sombras y luces, Batman deberá forjar alianzas con algunos de ellos para impartir la justicia y acabar con el abuso de poder que tanto asola a la ciudad de Gotham.",/movies_images/the-batman.jpg,https://www.youtube.com/embed/IqRRLA6pZvo,"Robert Pattinson,Zoë Kravitz,Paul Dano,Jeffrey Wright",Matt Reeves,"Matt Reeves,Peter Craig"
Competencia oficial,2022/02/25,114,,14,"Buscando notoriedad y prestigio social, un rico empresario se lanza a rodar una película que deje huella. Para ello, ficha a los mejores: un equipo estelar formado por la prestigiosa cineasta Lola Cuevas (Penélope Cruz) y dos reconocidos intérpretes, de enorme talento pero con un ego aún más grande: el actor de Hollywood Félix Rivero (Antonio Banderas) y el actor radical de teatro Iván Torres (Oscar Martínez). Ambos son leyendas, pero tienen rencillas del pasado que solucionar. A través de una serie de pruebas cada vez más peculiares propuestas por Lola, Félix e Iván deben enfrentarse no solo entre sí, sino también con sus propios legados.",/movies_images/competencia-oficial.jpg,https://www.youtube.com/embed/Lutwmc_xT48,"Penélope Cruz,Antonio Banderas,Oscar Martinez,José Luis Gómez","Mariano Cohn,Gastón Duprat","Andrés Duprat,Mariano Cohn,Gastón Duprat"
CODA,2022/02/18,111,,5,"Como CODA (el acrónimo en inglés de 'Child of Deaf Adults', es decir, hija de adultos sordos), Ruby es la única que puede oír en su familia. Ayuda en el negocio familiar de pesca y sus planes son trabajar ahí una vez que termine el instituto. Ruby es acosada en clase debido a su particular situación en casa, pero cuando el chico que le gusta decida apuntarse a un coro, ella irá detrás para intentar conquistarle. Ahí descubre que tiene una preciosa voz y un don innato para la música.Mientras que el amor de Ruby por la música va creciendo, el negocio de sus padres va de mal en peor. Los nuevos impuestos y sanciones provocan una situación económica que les lleva a plantearse echar el cierre. Es entonces cuando la joven protagonista tendrá que elegir entre perseguir su pasión y su miedo a abandonar a sus padres.",/movies_images/coda.jpg,https://www.youtube.com/embed/iy910WCy5R0,"Emilia Jones,Marlee Matlin,Eugenio Derbez,Troy Kotsur",Siân Heder,Siân Heder
Ambulance: Plan de huida,2022/04/13,136,,"1,2","Dos hermanos se reúnen con motivo del precario estado de salud de la esposa de uno de ellos. Necesitan dinero para su tratamiento y la única manera de conseguirlo es atracando un banco. Durante el robo, la cosa se complica. El coche de huida se descarta por la llegada de la policía, pero tienen una alternativa. Se hacen con una ambulancia y comienza la huida, aunque no serán los únicos pasajeros: Un enfermo del corazón y una enfermera lucharán por sus vidas durante 80 frenéticos minutos.Remake del filme Danés Ambulancen estrenado en 2005 del director Laurits Munch-Petersen. En este caso, tenemos tras las cámaras al director Michael Bay (Dolor y dinero, 6 en la sombra).",/movies_images/ambulance-plan-de-huida.jpg,https://www.youtube.com/embed/o8LGXCQXEwY,"Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza Gonzalez,Garret Dillahunt",Michael Bay,"Chris Fedak,Laurits Munch-Petersen,Andreas Bo Pedersen"
Drive My Car,2022/02/04,177,,"5,11","Yusuke es actor y director de obras de teatro. Está casado con Fukaku, una mujer relacionada con el mundo del arte y que escribe los libretos de piezas de teatro. Ambos mantienen un feliz matrimonio, sin embargo, un día Fukaku desaparece sin motivo aparente y dejando atrás un secreto. Dos años después, Yusuke ha seguido adelante con su vida y acepta un trabajo como director en un festival de teatro. De camino a Hiroshima, conoce a su reservada chófer privada, Misaki. Mientras van transcurriendo los días junto a ella, Yusuke irá redescubriendo ciertos aspectos de su vida que había olvidado. &amp;nbsp;",/movies_images/drive-my-car.jpg,https://www.youtube.com/embed/-ofCqXmgx0E,"Hidetoshi Nishijima,Toko Miura,Masaki Okada,Reika Kirishima",Ryūsuke Hamaguchi,"Ryūsuke Hamaguchi,Takamasa Oe,Haruki Murakami"
Belfast,2022/01/28,99,,5,"El filme nos traslada a 1969 y nos presenta a Buddy: un niño de clase obrera, del norte de Belfast, que se siente feliz, amado y seguro. Su mundo es todo vida y diversión en las calles de una comunidad que permanece unida. Una comunidad donde todos sus familiares viven en la misma calle y donde es imposible perderse, porque todo el mundo en Belfast se conoce.Pero, cuando los años sesenta tocan su fin, un caluroso mes de agosto convierte los sueños de infancia de Buddy en una pesadilla. El descontento social acumulado de pronto estalla en la propia calle de Buddy y la situación se intensifica rápidamente. Primero, un ataque enmascarado, luego disturbios y, por último, un conflicto que se extiende por toda la ciudad, avivando las llamas más allá de la capital. Católicos contra protestantes, los que hasta hace un instante eran vecinos cordiales y amorosos, se convierten de pronto en enemigos mortales.",/movies_images/belfast.jpg,https://www.youtube.com/embed/6_8DxIn11eo,"Caitriona Balfe,Jamie Dornan,Jude Hill,Ciarán Hinds",Kenneth Branagh,Kenneth Branagh
Un pequeño plan...como salvar el planeta,2022/04/22,66,,14,Abel y Marianne descubren que su hijo de 13 años ha estado vendiendo los objetos de valor de la familia para conseguir dinero rápido. El objetivo del chico es muy curioso: quiere financiar un proyecto ecológico secreto en África que él cree salvará el planeta.,/movies_images/un-pequeo-plan...como-salvar-el-planeta.jpg,https://www.youtube.com/embed/9XTooYHJB3w,"Lionel Dray,Laetitia Casta,Louis Garrel,Maïmouna Gueye",Louis Garrel,"Louis Garrel,Jean-Claude Carrière"
Encanto,2021/11/26,103,,"9,19,8,14","Encanto&amp;nbsp;nos sitúa en el corazón de Colombia, narrando la increíble aventura de una joven y su familia. Pero, sorprendentemente, todos los miembros del clan tienen poderes mágicos excepto la protagonista.&amp;nbsp;La película de animación de Disney estará dirigida por Byron Howard y Jared Bush. Además, Bush también escribirá el guion junto a Charise Castro Smith.",/movies_images/encanto.jpg,https://www.youtube.com/embed/E4dCY_DvT-4,,"Byron Howard,Jared Bush,Charise Castro Smith","Jared Bush,Charise Castro Smith"
"Onoda, 10.000 noches en la jungla",2022/05/06,167,,"5,18,17","Finales de la II Guerra Mundial: Japón está perdiendo la guerra. Por orden del comandante Taniguchi, el joven Hirō Onoda es trasladado a una isla de Filipinas justo antes del desembarco del ejército americano. Los pocos soldados que arrastra hasta la jungla pronto descubrirán la doctrina desconocida que los unirá a este hombre: la guerra secreta. Para el Imperio, la guerra está a punto de finalizar. Para Onoda, la guerra terminará 10.000 noches después.",/movies_images/onoda-10.000-noches-en-la-jungla.jpg,https://www.youtube.com/embed/RaNUzNc98HA,"Kanji Tsuda,Yuya Matsuura,Kai Inowaki,Taiga Nakano",Arthur Harari,"Arthur Harari,Vincent Poymiro"
No te quiero,2022/05/20,109,,5,"A sus 14 años, Vika reside en una pequeña localidad situada en la región rusa de los Urales. Recolecta frutos silvestres que crecen en los humedales y ayuda a su madre a venderlas en un mercadillo de la calle. Le gustan las clases de coreografía de la escuela, pero tiene un problema: está embarazada de un bebé al que no desea.",/movies_images/no-te-quiero.jpg,https://www.youtube.com/embed/vh2k093IBOY,"Olga Malahova,Vladimir Shabelnikov,Tatiana Tihmeneva,Tatyana Tikhmenyova",Lena Lanskih,Lena Lanskih
